id_bird,class_bird,french_name,english_name
113,113.Baird_Sparrow,Bruant de Baird,Baird's Sparrow
114,114.Black_throated_Sparrow,Bruant à gorge noire,Black-throated Sparrow
115,115.Brewer_Sparrow,Bruant de Brewer,Brewer's Sparrow
116,116.Chipping_Sparrow,Bruant familier,Chipping Sparrow
117,117.Clay_colored_Sparrow,Bruant des plaines,Clay-colored Sparrow
118,118.House_Sparrow,Moineau domestique,House Sparrow
119,119.Field_Sparrow,Bruant des champs,Field Sparrow
120,120.Fox_Sparrow,Bruant fuligineux,Sooty Fox Sparrow
121,121.Grasshopper_Sparrow,Bruant sauterelle,Grasshopper Sparrow
122,122.Harris_Sparrow,Bruant à face noire,Harris's Sparrow
123,123.Henslow_Sparrow,Bruant de Henslow,Henslow's Sparrow
124,124.Le_Conte_Sparrow,Bruant de Le Conte,LeConte's Sparrow
125,125.Lincoln_Sparrow,Bruant de Lincoln,Lincoln's Sparrow
126,126.Nelson_Sharp_tailed_Sparrow,Bruant de Nelson,Nelson's Sparrow
127,127.Savannah_Sparrow,Bruant des prés,Savannah Sparrow
128,128.Seaside_Sparrow,Bruant maritime,Seaside Sparrow
129,129.Song_Sparrow,Bruant chanteur,Song Sparrow
130,130.Tree_Sparrow,Moineau friquet,Eurasian Tree Sparrow
131,131.Vesper_Sparrow,Bruant vespéral,Vesper Sparrow
132,132.White_crowned_Sparrow,Bruant à couronne blanche,White-crowned Sparrow
133,133.White_throated_Sparrow,Bruant à gorge blanche,White-throated Sparrow
134,134.Cape_Glossy_Starling,Choucador à épaulettes rouges,Cape starling
135,135.Bank_Swallow,Hirondelle de rivage,Bank Swallow
136,136.Barn_Swallow,Hirondelle rustique,Barn Swallow
137,137.Cliff_Swallow,Hirondelle à front blanc,American Cliff Swallow
138,138.Tree_Swallow,Hirondelle bicolore,Tree Swallow
139,139.Scarlet_Tanager,Tangara écarlate,Scarlet Tanager
140,140.Summer_Tanager,Tangara vermillon,Summer Tanager
141,141.Artic_Tern,Sterne arctique,Arctic Tern
142,142.Black_Tern,Guifette noire,Black Tern
143,143.Caspian_Tern,Sterne caspienne,Caspian Tern
144,144.Common_Tern,Sterne pierregarin,Common Tern
145,145.Elegant_Tern,Sterne élégante,Elegant Tern
146,146.Forsters_Tern,Sterne de Forster,Forster's Tern
147,147.Least_Tern,Petite Sterne,Least Tern
148,148.Green_tailed_Towhee,Tohi à queue verte,Green-tailed Towhee
149,149.Brown_Thrasher,Moqueur roux,Brown Thrasher
150,150.Sage_Thrasher,Moqueur des armoises,Sage Thrasher
151,151.Black_capped_Vireo,Viréo à tête noire,Black-capped Vireo
152,152.Blue_headed_Vireo,Viréo à tête bleue,Blue-headed Vireo
153,153.Philadelphia_Vireo,Viréo de Philadelphie,Philadelphia Vireo
154,154.Red_eyed_Vireo,Viréo à oeil rouge,Red-eyed Vireo
155,155.Warbling_Vireo,Viréo mélodieux,Warbling Vireo
156,156.White_eyed_Vireo,Viréo aux yeux blancs,White-eyed Vireo
157,157.Yellow_throated_Vireo,Viréo à gorge jaune,Yellow-throated Vireo
158,158.Bay_breasted_Warbler,Paruline à poitrine baie,Bay-breasted Warbler
159,159.Black_and_white_Warbler,Paruline noir et blanc,Black-and-white Warbler
160,160.Black_throated_Blue_Warbler,Paruline bleue,Black-throated Blue Warbler
161,161.Blue_winged_Warbler,Paruline à ailes bleues,Blue-winged Warbler
162,162.Canada_Warbler,Paruline du Canada,Canada Warbler
163,163.Cape_May_Warbler,Paruline tigrée,Cape May Warbler
164,164.Cerulean_Warbler,Paruline azurée,Cerulean Warbler
165,165.Chestnut_sided_Warbler,Paruline à flancs marron,Chestnut-sided Warbler
166,166.Golden_winged_Warbler,Paruline à ailes dorées,Golden-winged Warbler
167,167.Hooded_Warbler,Paruline à capuchon,Hooded Warbler
168,168.Kentucky_Warbler,Paruline du Kentucky,Kentucky Warbler
169,169.Magnolia_Warbler,Paruline à tête cendrée,Magnolia Warbler
170,170.Mourning_Warbler,Paruline triste,Mourning Warbler
171,171.Myrtle_Warbler,Paruline à croupion jaune,Myrtle Warbler
172,172.Nashville_Warbler,Paruline à joues grises,Nashville Warbler
173,173.Orange_crowned_Warbler,Paruline verdâtre,Orange-crowned Warbler
174,174.Palm_Warbler,Paruline à couronne rousse,Palm Warbler
175,175.Pine_Warbler,Paruline des pins,Pine Warbler
176,176.Prairie_Warbler,Paruline des prés,Prairie Warbler
177,177.Prothonotary_Warbler,Paruline orangée,Prothonotary Warbler
178,178.Swainson_Warbler,Paruline de Swainson,Swainson's Warbler
179,179.Tennessee_Warbler,Paruline obscure,Tennessee Warbler
180,180.Wilson_Warbler,Paruline à calotte noire,Wilson's Warbler
181,181.Worm_eating_Warbler,Paruline vermivore,Worm-eating Warbler
182,182.Yellow_Warbler,Paruline jaune,American yellow warbler
183,183.Northern_Waterthrush,Paruline des ruisseaux,Northern Waterthrush
184,184.Louisiana_Waterthrush,Paruline hochequeue,Louisiana Waterthrush
185,185.Bohemian_Waxwing,Jaseur boréal,Bohemian Waxwing
186,186.Cedar_Waxwing,Jaseur d'Amérique,Cedar Waxwing
187,187.American_Three_toed_Woodpecker,Pic à dos rayé,American Three-toed Woodpecker
188,188.Pileated_Woodpecker,Grand Pic,Pileated Woodpecker
189,189.Red_bellied_Woodpecker,Pic à ventre roux,Red-bellied Woodpecker
190,190.Red_cockaded_Woodpecker,Pic à face blanche,Red-cockaded Woodpecker
191,191.Red_headed_Woodpecker,Pic à tête rouge,Red-headed Woodpecker
192,192.Downy_Woodpecker,Pic mineur,Downy Woodpecker
193,193.Bewick_Wren,Troglodyte de Bewick,Bewick's Wren
194,194.Cactus_Wren,Troglodyte des cactus,Cactus Wren
195,195.Carolina_Wren,Troglodyte de Caroline,Carolina Wren
196,196.House_Wren,Troglodyte familier,House Wren
197,197.Marsh_Wren,Troglodyte des marais,Marsh Wren
198,198.Rock_Wren,Troglodyte des rochers,Rock Wren
199,199.Winter_Wren,Troglodyte des forêts,Winter Wren
200,200.Common_Yellowthroat,Paruline masquée,Common Yellowthroat
